Index,Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language,ID
24878,Hami Tin Bhai,2004,138 min,8.4,37,"Action, Comedy            ",nepali,tt7471552
24879, Dirilis: Ertugrul,2014–2019,120 min,8.8,243,"Action, Adventure, Drama            ",urdu,tt4363022
24880,Madai Thirandhu,2018,-,-,-,Drama            ,telugu,tt8334302
24881,The Destiny Samaj of Banjaraa,2019,-,7.3,10,Drama            ,hindi,tt11214476
24882,Kharam,2017,113 min,-,-,Drama            ,malayalam,tt7911790
24883,Chandavalliya Tota,1964,147 min,8.4,14,-,kannada,tt1408918
24884,Mr. Majnu,,-,-,-,Romance            ,hindi,-
24885,Dur Theke Kachhe,1974,112 min,-,-,Drama            ,bengali,tt7744930
24886,Vallah Kya Baat Hai,1962,135 min,7,35,"Action, Crime, Drama            ",rajastani,tt0176313
24887,Had Thai Gai,2017,130 min,5.2,5,Drama            ,gujarati,tt7317294
24888,Chalu Dya Tumcha,2017,125 min,-,-,-,marathi,tt10001940
24889,Pyaar Ki Manzil,1950,-,-,-,-,hindi,tt0378617
24890,Sadhak Ramprasad,1956,136 min,-,-,Drama            ,bengali,tt7706382
24891,Mahaul Theek Hai,1999,-,7.2,120,Comedy            ,punjabi,tt0308534
24892,Theeran Adhigaram Ondru,2017,157 min,8.2,"10,814","Action, Crime, Thriller            ",tamil,tt7060460
24893,Liger,2021,-,-,-,Drama            ,malayalam,-
24894,Pushpasaram,2001,-,-,-,-,malayalam,tt0320324
24895,Kartiki,1974,-,-,-,-,marathi,tt0238345
24896,Kunjo,2009,25 min,9.2,5,"Short, Drama            ",rajastani,tt1380908
24897,Sohel Rana,1985,-,-,-,Action            ,bengali,tt6156270
24898,Rawkto Rawhoshyo,2020,-,8.3,34,Thriller            ,bengali,tt12339374
24899,Code Name Abdul,2020,114 min,-,-,"Crime, Thriller            ",hindi,tt6143092
24900,Moojrim,1970,138 min,4.4,21,"Action, Crime, Musical            ",hindi,tt0374066
24901,Sree Ayyappanum Vavarum,1982,-,5.8,12,"Action, Adventure, Drama            ",malayalam,tt0318085
24902,Kagaz Patra,2019,-,-,-,"Comedy, Drama, Romance            ",nepali,tt7810160
24903,Shaam Dhalay,II 2016,40 min,-,-,Drama            ,urdu,tt13529472
24904,Detective Naarada,1993,-,5.8,227,"Comedy, Drama, Thriller            ",telugu,tt0267422
24905, Alif Laila,1997–2002,-,-,-,"Adventure, Fantasy            ",urdu,tt11423244
24906,Chaddi Dosth,2013,132 min,7.1,21,"Comedy, Drama            ",kannada,tt5348692
24907,Alluda Majaaka!,1995,161 min,6.2,345,"Action, Comedy, Drama            ",telugu,tt0245704
24908,Jibon Theke Neya,1970,150 min,9.3,"1,890","Drama, Family, War            ",bengali,tt0989831
24909,Bas Ek Pal,2006,150 min,5.9,499,"Drama, Romance, Thriller            ",hindi,tt0808164
24910,Wazir,I 2016,103 min,7.1,"17,573","Action, Crime, Drama            ",hindi,tt0315642
24911,Sachaa Jhutha,1970,143 min,6.8,248,"Action, Comedy, Thriller            ",hindi,tt0148691
24912,Cheelzadap,2019,118 min,5.2,19,"Comedy, Thriller            ",gujarati,tt10811070
24913,Aasai Magan,1953,-,-,-,-,tamil,tt9386170
24914,Biyer Lagna,2008,165 min,6.7,12,Drama            ,bengali,tt1409078
24915,Thoda Tuza Thoda Maza,2013,106 min,-,-,Family            ,marathi,tt5432448
24916,Deha Tumaar Lahoti,2016 Video,4 min,-,-,"Short, Music            ",assamese,tt6467458
24917,Aashiq Vanna Divasam,2018,127 min,5.5,8,"Drama, Family            ",malayalam,tt8168814
24918,Ilzaam,1986,164 min,6,93,"Drama, Family            ",hindi,tt0091258
24919,Mee Sindhutai Sapkal,2010,110 min,7,124,"Biography, Drama            ",marathi,tt1804604
24920,Bidugadeya Bedi,1985,-,-,-,-,kannada,tt1429328
24921,Nilshari,1954,-,-,-,-,bengali,tt1582563
24922,Sivakumarin Sabadham,2021,-,-,-,Drama            ,tamil,-
24923,Faux Départ,2012,9 min,6.6,11,"Short, Drama, Romance            ",urdu,tt2368706
24924,Prem Parvat,1973,-,6,8,"Drama, Romance            ",hindi,tt0379445
24925,Road to Las Vegas,2009,90 min,-,-,"Comedy, Drama, Family            ",bengali,tt2829310
24926,Ekattorer Jishu,1993,100 min,7.8,129,Drama            ,bengali,tt0106800
24927,Kilipetchu Ketkava,1993,-,6.5,33,-,tamil,tt0214852
24928,Main Aur Tum,1987,-,6,9,Thriller            ,hindi,tt2710226
24929,The Letter,VI 2018,8 min,-,-,Short            ,urdu,tt8383836
24930,Shiva Shakti,1988,153 min,4.7,29,"Action, Crime, Drama            ",hindi,tt0376886
24931,Kabaddi,2014,123 min,8.2,508,"Comedy, Drama, Romance            ",nepali,tt3696800
24932,Doosra Kinara,1982,-,-,-,Romance            ,hindi,tt3820948
24933,Shabdavedi,2000,164 min,7,124,"Action, Crime, Thriller            ",kannada,tt0495627
24934,Sanai Choughade,2008,120 min,6.7,82,Comedy            ,marathi,tt2624946
24935,Malankattu,1980,-,-,-,-,malayalam,tt0232038
24936,Kaala Sona,1975,137 min,6.4,59,"Action, Thriller            ",hindi,tt0073224
24937,Loafer,1996,160 min,5.1,498,"Action, Comedy, Romance            ",hindi,tt0116898
24938,Thaikku Thalaimagan,1967,159 min,6.5,16,Drama            ,tamil,tt0318746
24939,Roommates,III 2017,-,-,-,Thriller            ,marathi,tt7088022
24940,Visions of Mustang,2012,43 min,-,-,"Documentary, Short, Adventure            ",nepali,tt2188904
24941,Zehari Saap,1933,156 min,-,-,-,hindi,tt0235086
24942,Tumhare Siwa,2015– ,-,-,-,-,urdu,tt10441756
24943,Style,2006,160 min,6,366,Musical            ,telugu,tt0978723
24944,Uraal,2020,-,-,-,Drama            ,bengali,tt11987882
24945,Maggy,2019,151 min,3.1,7,Horror            ,tamil,tt11311942
